servicioResponsable,descripcion,codigo,ejecutado,estado,ano,gastadoAnosAnteriores,servicioResponsableEjecucion,fechaRegistro,etapa,fuenteFinanciamiento,solicitado,rate,nombreIniciativa,provision,unidadTecnica,comuna,georeferenciacion,totalBeneficiarios,id,tipoIniciativa,sector
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,17650000,0,PROGRAMA: HABILIDADES PARA LA VIDA (SALUD),,Junta Nacional de Auxilio Escolar y Becas,Arica,[],0,99,EJECUCION,Multisectorial
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,1739000,0,PROGRAMA: SALUD BUCAL (SALUD),,Junta Nacional de Auxilio Escolar y Becas,Arica,[],0,99,EJECUCION,Multisectorial
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,4004000,0,PROGRAMA: SALUD BUCAL (SALUD),,Junta Nacional de Auxilio Escolar y Becas,"Camarones,Putre,Gral Lagos",[],0,99,EJECUCION,Multisectorial
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,2500000,0,PROGRAMA: ESCUELAS SALUDABLES  PARA EL APRENDIZAJE (SALUD),,Junta Nacional de Auxilio Escolar y Becas,Gral Lagos,[],0,99,EJECUCION,Multisectorial
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,32589000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Arica,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,52142000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Arica,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,6,,97188000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,,,,null,2008,0,,null,6,,112613000,0,PROGRAMA RESIDENCIA FAMILIAR ESTUDIANTIL (BECAS),,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,6,,195572000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,6,,514727000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,73880000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,Multisectorial
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,3363000,0,PROGRAMA DE ALIMENTACION ESCOLAR (PAE),,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,Multisectorial
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,1198000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,7156000,0,PROGRAMA UTILES ESCOLARES MEDIA (BECAS),,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,11590000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,,,,null,2008,0,,null,0,,59060000,0,SUBSIDIO PARA LA PSU (BECAS),,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,106950000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,97380000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,166144000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
Junta Nacional de Auxilio Escolar y Becas,null,,,null,2008,0,,null,0,,768300000,0,null,,Junta Nacional de Auxilio Escolar y Becas,Regional,[],0,99,EJECUCION,null
null,null,,,null,2008,0,,null,0,,334701000,0,FONDO DE APOYO AL MEJORAMIENTO DE LA GESTION MUNICIPAL EN EDUCACION,,null,Arica,[],0,101,EJECUCION,null
null,null,,,null,2008,0,,null,0,,101702000,0,FONDO DE APOYO AL MEJORAMIENTO DE LA GESTION MUNICIPAL EN EDUCACION,,null,Camarones,[],0,101,EJECUCION,null
null,null,,,null,2008,0,,null,0,,110894000,0,FONDO DE APOYO AL MEJORAMIENTO DE LA GESTION MUNICIPAL EN EDUCACION,,null,Gral Lagos,[],0,101,EJECUCION,null
null,null,,,null,2008,0,,null,0,,88168000,0,FONDO DE APOYO AL MEJORAMIENTO DE LA GESTION MUNICIPAL EN EDUCACION,,null,Putre,[],0,101,EJECUCION,null
Servicio Nacional de Menores,,,,null,2008,0,,null,6,,385760000,0,LINEA DE ATENCION RESIDENCIAL,,Servicio Nacional de Menores,Arica,[],0,117,EJECUCION,Justicia
Servicio Nacional de Menores,,,,null,2008,0,,null,6,,52297000,0,OFICINA PROTECCION DE DERECHOS,,Servicio Nacional de Menores,Arica,[],0,117,EJECUCION,Justicia
Servicio Nacional de Menores,,,,null,2008,0,,null,6,,843652000,0,LINEA DE ATENCION PROGRAMAS,,Servicio Nacional de Menores,Arica,[],0,117,EJECUCION,Justicia
Servicio Nacional de Menores,,,,null,2008,0,,null,6,,134737000,0,null,,Servicio Nacional de Menores,Arica,[],0,117,EJECUCION,Justicia
null,,,,null,2008,0,,null,6,,1823000,0,OTROS SERVICIOS PBS,,null,Arica,[],0,125,EJECUCION,No Definido
null,,,,null,2008,0,,null,6,,23954613000,0,PAGO BENEFICIOS PREVISIONALES,,null,Regional,[],0,125,EJECUCION,No Definido
null,,,,null,2008,0,,null,6,,408000,0,PUBLICIDAD Y DIFUSION,,null,Regional,[],0,125,EJECUCION,No Definido
null,,,,null,2008,0,,null,0,,36064000,0,CHILE SOLIDARIO,,null,Regional,[],0,126,EJECUCION,null
null,,,,null,2008,0,,null,0,,15546000,0,null,,null,Regional,[],0,126,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,null,,,null,2008,0,,null,0,,60773000,0,BECAS MYPE,,null,Regional,[],0,126,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,,,,null,2008,0,,null,0,,234666000,0,PROGRAMA APRENDICES,,null,Regional,[],0,126,EJECUCION,null
null,,,,null,2008,0,,null,0,,200458000,0,PRO EMPLEO,,null,Regional,[],0,126,EJECUCION,null
null,null,,,null,2008,0,,null,0,,294501000,0,FRANQUICIA TRIBUTARIA,,null,Regional,[],0,126,EJECUCION,Multisectorial
null,PROYECTO ANUAL.,,,null,2008,0,,null,0,,1566336000,0,MEJOR TRABAJO,,null,Regional,[],0,126,EJECUCION,null
null,RS; FONDO DISPONIBLE 2DO SEMESTRE DEL 2008,30061352,,null,2008,0,,null,6,,251194000,0,"REPARACION ESTRUCTURAL EDIFICIO DE SERVICIOS PUBLICOS, ARICA",,null,Arica,[],0,136,EJECUCION,Multisectorial
null,COMPROMISO DE LA REPUBLICA DE CHILE DE ACUERDO AL TRATADO DE LIMA DE 1929.,30075826,,null,2008,0,,null,5,,23176000,0,null,,null,Arica,[],0,138,EJECUCION,Multisectorial
null,,30081068,,null,2008,0,,null,6,,28350000,0,null,,null,Arica,[],0,138,EJECUCION,Multisectorial
null,null,30083542,,null,2008,0,,null,6,,900000,0,null,,null,Arica,[],0,138,EJECUCION,Multisectorial
null,null,30063353,,null,2008,0,,null,6,,29892000,0,"CONSTRUCCION DE ESPIGONES DESEMBOCADURA RIO SAN JOSE, ARICA",,null,Arica,[],0,138,EJECUCION,Multisectorial
null,null,20168523,,null,2008,0,,null,3,,56465000,0,"MEJORAMIENTO BALNEARIOS EL LAUCHO Y LA LISERA, ARICA",,null,Arica,[],0,138,EJECUCION,Multisectorial
null,null,30063353,,null,2008,0,,null,0,,0,0,"CONSTRUCCION DE ESPIGONES DESEMBOCADURA RIO SAN JOSE, ARICA",,null,Arica,[],0,138,EJECUCION,Multisectorial
null,null,30067854,,null,2008,0,,null,6,,44969000,0,"REPARACION MURO DE PROTECCION CALETA CAMARONES, ARICA",,null,Camarones,[],0,138,EJECUCION,Pesca
null,,30077578,,null,2008,0,,null,0,,80000000,0,null,,null,Arica,"[{x:380696,y:7963935,ogc:32719},{x:380256,y:7948398,ogc:32719}]",0,140,EJECUCION,Multisectorial
null,,30069906,,null,2008,10800000,,null,0,,188190000,0,null,,null,Arica,[],0,140,EJECUCION,Silvoagropecuario
null,,30069905,,null,2008,5991000,,null,0,,145689000,0,null,,null,Arica,"[{x:374042,y:7952275,ogc:32719}]",0,140,EJECUCION,Silvoagropecuario
null,,30069191,,null,2008,15000000,,null,0,,87300000,0,null,,null,Arica,"[{x:363938,y:7955406,ogc:32719}]",0,140,EJECUCION,Multisectorial
null,,30069191,,null,2008,199999000,,null,0,,381554000,0,null,,null,Arica,"[{x:363938,y:7955406,ogc:32719}]",0,140,EJECUCION,Multisectorial
null,,30069091,,null,2008,102000000,,null,0,,54710000,0,null,,null,Arica,[],0,140,EJECUCION,Multisectorial
null,,30070523,,null,2008,0,,null,0,,144692000,0,null,,null,Arica,[],0,140,EJECUCION,Multisectorial
null,,27000309,,null,2008,0,,null,0,,42394000,0,"REPOSICION DE EMERGENCIA DE ARRANQUES DOMICILIARIOS DE AGUA POTABLE, VILLA FRONTERA Y LA PONDEROSA",,null,Arica,[],0,140,EJECUCION,Multisectorial
null,,27000309,,null,2008,0,,null,0,,26500000,0,null,,null,Arica,[],0,140,EJECUCION,Multisectorial
null,,27000309,,null,2008,0,,null,0,,237000000,0,REPARACION EMERGENCIA SISTEMA AGUA POTABLE RURAL VILLA FRONTERA Y LA PONDEROSA,,null,Arica,[],0,140,EJECUCION,Multisectorial
null,,30002085,,null,2008,558457000,,null,0,,98552000,0,"Montaje  y obras complementarias Tranque Caritaya, comuna de Camarones",,null,Camarones,[],0,140,EJECUCION,Silvoagropecuario
null,,30002085,,null,2008,51357000,,null,0,,9782000,0,null,,null,Camarones,[],0,140,EJECUCION,Silvoagropecuario
null,,30062676,,null,2008,0,,null,0,,157182000,0,null,,null,Putre,[],0,140,EJECUCION,Silvoagropecuario
null,,30062729,,null,2008,0,,null,0,,97455000,0,null,,null,Putre,[],0,140,EJECUCION,Multisectorial
null,,30078634,,null,2008,0,,null,0,,59035000,0,null,,null,Regional,[],0,140,EJECUCION,Multisectorial
null,null,30078641,,null,2008,0,,null,6,,0,0,"CONSERVACION PERIODICA PUENTE SAUCACHE ORIENTE Y PONIENTE KM 2071 RUTA 5 , PROV DE ARICA.",,null,Arica,[],0,141,EJECUCION,Multisectorial
null,,30078641,,null,2008,0,,null,6,,395465000,0,null,,null,Arica,[],0,141,EJECUCION,Multisectorial
null,,30078641,,null,2008,0,,null,6,,378798000,0,null,,null,Arica,[],0,141,EJECUCION,Multisectorial
null,,27000295,,null,2008,0,,null,6,,304839000,0,null,,null,Regional,[],0,141,EJECUCION,Multisectorial
null,null,30076562,,null,2008,0,,null,0,,0,0,null,,null,Regional,"[{x:442269,y:7984253,ogc:32719},{x:440971,y:7982697,ogc:32719},{x:439415,y:7979843,ogc:32719}]",0,141,EJECUCION,Multisectorial
null,,30078641,,null,2008,0,,null,6,,239873000,0,Conservacion Periodica Ruta A-32 Reposicion Obras de Arte Caleta Vitor,,null,Camarones,[],0,141,EJECUCION,Multisectorial
null,,30078641,,null,2008,0,,null,6,,268857000,0,null,,null,Camarones,[],0,141,EJECUCION,Multisectorial
null,,30078641,,null,2008,0,,null,0,,0,0,"CONSERVACION PERIODICA ACCESO A CODPA , KM 40 AL KM 47 (POR SECTORES), PROVINCIA DE ARICA, REGION ARICA Y PARINACOTA",,null,Camarones,[],0,141,EJECUCION,Multisectorial
null,APERTURA LICITACION 09 DICIEMBRE 2008.,30076562,,null,2008,0,,null,6,,1000,0,Conservacion Global de Caminos Provincia de Parinacota Etapa VIII.,,null,Parinacota,"[{x:442269,y:7984253,ogc:32719},{x:440971,y:7982697,ogc:32719},{x:439415,y:7979843,ogc:32719}]",0,141,EJECUCION,Multisectorial
null,,30036559,,null,2008,0,,null,6,,2613000,0,null,,null,Parinacota,"[{x:450892,y:8047911,ogc:32719},{x:453739,y:8042219,ogc:32719}]",0,141,EJECUCION,Transporte
null,,30078641,,null,2008,0,,null,6,,1105957000,0,null,,null,Putre,[],0,141,EJECUCION,Multisectorial
null,,30078641,,null,2008,0,,null,6,,381520000,0,null,,null,Putre,[],0,141,EJECUCION,Multisectorial
null,,30076726,,null,2008,0,,null,5,,0,0,null,,null,Regional,"[{x:405932,y:7988252,ogc:32719},{x:412301,y:7992902,ogc:32719}]",0,141,EJECUCION,Transporte
null,LAS PLATAS PROVIENENDE FONDOS DEL ITEM CORRIENTE.,22.11.001,,null,2008,0,,null,0,,175000000,0,ESTRATEGIA REGIONAL DE RECURSOS HIDRICOS ARICA Y PARINACOTA: DIAGNOSTICO MANEJO SUSTENTABLE ACUIFERO AZAPA,,null,"Arica,Putre",[],0,148,EJECUCION,Multisectorial
null,RS,30069167,,null,2008,30000000,,null,0,,34000000,0,EVALUACION PRELIMINAR DE ALTERNATIVAS DE MITIGACION DE CONTAMINANTES RELEVANTES EN EL RIO LLUTA A PARTIR DE UNA CARACTERIZACION DE DE LAS FUENTES DE C,,null,"Arica,Putre",[],0,148,EJECUCION,Multisectorial
null,LAS PLATAS PROVIENENDE FONDOS DEL ITEM CORRIENTE.,22.11.001,,null,2008,0,,null,0,,13300000,0,null,,null,Regional,[],0,148,EJECUCION,Multisectorial
null,LAS PLATAS PROVIENENDE FONDOS DEL ITEM CORRIENTE.,22.11.001,,null,2008,0,,null,0,,20000000,0,null,,null,Regional,[],0,148,EJECUCION,Multisectorial
Servicio de Salud de Arica,null,30047599,,null,2008,509916000,,null,6,,420000000,0,NORMALIZACION HOSPITAL ARICA-COMPONENTE EQUIPAMIENTO,,Servicio de Salud de Arica,Arica,"[{x:361402,y:7955885,ogc:32719}]",0,171,EJECUCION,Salud
Servicio de Salud de Arica,AVANCE DE OBRAS CON RETRASO RESPECTO A PROGRAMA ORIGINAL.,20101828,,null,2008,8295992000,,null,6,,3267902000,0,NORMALIZACION HOSPITAL DE ARICA.,,Servicio de Salud de Arica,Arica,"[{x:361280,y:7955906,ogc:32719}]",0,171,EJECUCION,Salud
Servicio de Salud de Arica,null,30067564,,null,2008,0,,null,6,,555700000,0,CONSTRUCCION CENTRO DE SALUD FAMILIAR NORTE ARICA,,Servicio de Salud de Arica,Arica,"[{x:363565,y:7962169,ogc:32719}]",0,171,EJECUCION,Salud
Seremi  de Salud,null,,,null,2008,0,,null,0,,10855000,0,REGLAMENTO SANITARIO INTERNACIONAL - ARICA Y PARINACOTA,,Seremi  de Salud,Regional,[],0,172,EJECUCION,Salud
Seremi  de Salud,null,,,null,2008,0,,null,0,,9000000,0,CONASIDA REGIONAL,,Seremi  de Salud,Regional,[],0,172,EJECUCION,Salud
Seremi  de Salud,null,,,null,2008,0,,null,0,,12000000,0,FORTALECIMIENTO DE LA FISCALIZACION SANITARIA,,Seremi  de Salud,Regional,[],0,172,EJECUCION,Salud
Seremi  de Salud,null,,,null,2008,0,,null,0,,17000000,0,EMERGENTES REGIONALES,,Seremi  de Salud,Regional,[],0,172,EJECUCION,Salud
Seremi  de Salud,null,,,null,2008,0,,null,0,,37850000,0,SALUD DE LOS TRABAJADORES Y SALUD OCUPACIONAL,,Seremi  de Salud,Regional,[],0,172,EJECUCION,Salud
Seremi  de Salud,null,,,null,2008,0,,null,0,,57291000,0,PLAN REGIONAL DE SALUD PUBLICA (PRSP). REGIONA DE ARICA Y PARINACOTA,,Seremi  de Salud,Regional,[],0,172,EJECUCION,Salud
null,RS,20170112,,null,2008,0,,null,5,,29931000,0,"MEJORAMIENTO GESTION DE TRANSITO, ARICA",,null,Arica,"[{x:363511,y:7955691,ogc:32719},{x:364934,y:7955122,ogc:32719}]",0,179,EJECUCION,Transporte
null,null,30074392,,null,2008,0,,null,6,,78203000,0,null,,null,Arica,[],0,179,EJECUCION,Vivienda
null,null,20144734,,null,2008,0,,null,6,,135526000,0,"CONSTRUCCION NUDO VIAL AVDAS. LUIS BERETTA Y STA. MARIA, ARICA",,null,Arica,[],0,179,EJECUCION,Transporte
null,null,30040408,,null,2008,0,,null,6,,171087000,0,"MEJORAMIENTO NUDO ROTONDA TUCAPEL, ARICA",,null,Arica,[],0,179,EJECUCION,Transporte
null,null,30037494,,null,2008,0,,null,6,,191249000,0,"MEJORAMIENTO MIRADOR VIRGEN DEL CARMEN, FALDEOS DEL MORRO, ARICA",,null,Arica,[],0,179,EJECUCION,Multisectorial
null,RS,30003711,,null,2008,0,,null,6,31.02,973073000,0,null,,null,Arica,"[{x:363033,y:7959978,ogc:32719},{x:362886,y:7958658,ogc:32719}]",0,179,EJECUCION,Transporte
null,,30072727,,null,2008,0,,null,6,,92191000,0,DIAGNOSTICO CALIDAD DE SUELOS CONST. VIVIENDAS SUBSIDIADA. EL ALTO,,null,Arica,"[{x:362886,y:7958512,ogc:32719}]",0,179,EJECUCION,No Definido
null,,30074390,,null,2008,0,,null,6,,258414000,0,null,,null,Arica,[],0,179,EJECUCION,No Definido
null,null,30062110,,null,2008,0,,null,6,,130798000,0,null,,null,"Putre,Camarones",[],0,179,EJECUCION,Transporte
null,,,,null,2008,0,,20090202,6,24.01,50243000,0,PROGRAMA TODO CHILE,,null,Regional,[],0,223,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,,,,null,2008,0,,20090202,6,24.01,437918000,0,PROGRAMA ZONAS ESPECIALES,,null,Regional,[],0,223,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,,,,null,2008,0,,20090202,6,24.01,416260000,0,PROGRAMA DE FOMENTO,,null,Regional,[],0,223,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,,,,null,2008,0,,20090202,6,24.01,514737000,0,PROGRAMA INNOVA CHILE,,null,Regional,[],0,223,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,LOS PRESUPUESTOS SON  ANUALES Y NEGOCIADOS EN JORNADAS CIUDADANAS CON SECRETARIA CHILEEMPRENDE,,,null,2008,0,,null,0,,140852000,0, PROGRAMA MICROEMPRESA PARA EL DESARROLLO DE LA COMPETIVIDAD Y APERTURA DE MERCADOS,,null,Regional,[],0,228,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,null,,,null,2008,0,,null,0,,250662000,0,PROGRAMA MICROEMPRESA PARA EL DESARROLLO DE LA COMPETIVIDAD Y APERTURA DE MERCADOS,,null,Regional,[],0,228,EJECUCION,"Industria, Comercio, Finanzas y Turismo"
null,null,,,null,2008,0,,null,6,,4484000,0, FOMENTO FORESTAL: FOMENTO AL ARBOLADO URBANO,,null,Arica,[],0,272,EJECUCION,Silvoagropecuario
null,null,,,null,2008,0,,null,6,,2848000,0,null,,null,"Arica, Camarones, Putre",[],0,272,EJECUCION,Silvoagropecuario
null,null,,,null,2008,0,,null,6,,5537000,0,null,,null,Arica,[],0,272,EJECUCION,Silvoagropecuario
null,null,,,null,2008,0,,null,6,,27383000,0,null,,null,Putre,[],0,272,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,RESOLUCION EMITIDA Y PAGO CONTRA ENTREGA  FINES DE OCTUBRE,,,null,2008,0,,null,6,,1500000,0,EMERGENCIA,,Instituto de Desarrollo Agropecuario,Camarones,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,8100000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Camarones,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,20216000,0,PROGRAMA DE FOMENTO PARA SECTORES ESPECIALES,,Instituto de Desarrollo Agropecuario,Camarones,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,12170000,0,null,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,47104000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,151161000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,634814000,0,null,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,8800000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,5880000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,9450000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,9267000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,4900000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,20335000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Arica,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,6434000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,18958000,0,null,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,25000000,0,EMERGENCIA,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,34114000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,6,,63973000,0,null,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,5058000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,null,,,null,2008,0,,null,0,,22000000,0,PROGRAMA DE FOMENTO  DE DESARROLLO INDIGENA,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,4400000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,RESOLUCION  EMITIDA        SE CANCELA CONTRA AVANCE,,,null,2008,0,,null,0,,1080000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,null,,,null,2008,0,,null,0,,2500000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,1000000,0,SERVICIO DE DESARROLLO DE CAPACIDADES PRODUCTIVAS EMPRESARIALES,,Instituto de Desarrollo Agropecuario,Parinacota,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,11186000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,900000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,16100000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,16982000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,null,,,null,2008,0,,null,0,,13269000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,RECURSOS APROBADOS SE PAGA CONTRA AVANCE,,,null,2008,0,,null,0,,6000000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,NINGUNA,,,null,2008,0,,null,0,,38187000,0,PROGRAMA DE FOMENTO PARA SECTORES ESPECIALES,,Instituto de Desarrollo Agropecuario,Putre,[],0,275,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,null,,,null,2008,0,,null,0,,3053000,0,PROGRAMA DE MEJORAMIENTO Y DESARROLLO DE INVERSIONES,,Instituto de Desarrollo Agropecuario,Regional,[],0,275,EJECUCION,Silvoagropecuario
